hash,message,parents,is_merge,modified_files
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,"Added docs, fixed some bugs I introduced last commit",['7d6b8e9ab3e738d69e39ad53a7c0f6a552d5284a'],False,"['artwork/logo-full.svg', 'docs/_static/flask.png', 'docs/_static/logo-full.png', 'docs/_templates/sidebarintro.html', 'docs/_templates/sidebarlogo.html', 'docs/_themes/flasky/static/flasky.css_t', 'docs/_themes/flasky/theme.conf', 'docs/becomingbig.rst', 'docs/conf.py', 'docs/flaskext.py', 'docs/foreword.rst', 'docs/index.rst', 'flask.py']"
8e9bd5f009bb8756a2a7d76a4b792323eeee49d6,Fixed a typo,['9dfab582d065521e9350327801ed2c5ced1c8fa1'],False,['docs/index.rst']
1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,Fixed a doc display bug and setup.py workaround for dev version.,['05f36c7f7e2df36ee28f90d99632162579b1287c'],False,"['docs/_themes/flasky/static/flasky.css_t', 'docs/deploying.rst', 'setup.py']"
574e81f9c8bbdc41958e1e7a7613633b091101f8,Fixed a bug in setup.py,['1fff3e598126a084348ec2c112fdd3bc6b9a1ee0'],False,"['docs/quickstart.rst', 'setup.py']"
2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,Doc updates and typo fixes,['03148dba6b26a2694da1d466584f50189c52e7b3'],False,"['docs/testing.rst', 'examples/minitwit/README', 'examples/minitwit/minitwit.py', 'examples/minitwit/templates/timeline.html']"
51c9829a9cdfa2bf301431f686d7a404cc7c5083,Fixed couple of errors in docs.,['2f5a4f8dbc832b0daebcd66ea8b3969589191fa7'],False,"['docs/foreword.rst', 'docs/index.rst', 'docs/installation.rst']"
a01e8b49ca66608f0bd46134ff02deeb5724c799,Fixed a documentation error and implemented template context processors.,['36071ca1f42a26ef327e9d14e4909a8c92cd4fae'],False,['flask.py']
8009bd986940378bba1399dbfce90d03e441467b,Fixed the mod_wsgi docs. Thanks Graham,['a42728568e18bedf588be2357b56021ab85b9fad'],False,['docs/deploying.rst']
c4f5c2fb9afc1679c085500830bd53fab93ad885,Fixed a typo,['1d8432ebfd1637eacab79a15e9b7963bf061371c'],False,['examples/flaskr/README']
40e0024d7b87150ed694829a5335bd2435962225,"Added screenshot of the debugger to Flask docs.  Flask now runs from the
shell again.",['6dd92ae4b32c336564231e10db12458a8b9261ca'],False,"['docs/_static/debugger.png', 'docs/quickstart.rst', 'flask.py']"
7b5015010bc8c2a2d56c7c50b37e5b9facdad102,"Preserve the request context in debug mode.

This makes it possible to access request information in the interactive
debugger.  Closes #8.",['40e0024d7b87150ed694829a5335bd2435962225'],False,['flask.py']
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,"request_init -> before_request and request_shutdown -> after_request

This fixes #9.",['7b5015010bc8c2a2d56c7c50b37e5b9facdad102'],False,"['docs/patterns.rst', 'docs/tutorial.rst', 'examples/flaskr/flaskr.py', 'examples/minitwit/minitwit.py', 'flask.py', 'tests/flask_tests.py']"
f54c4fd04f326d94684c7fcbf12df5cecae653c4,Fixed wording for circular imports,['61d07b8be9beae54d1c367adfc845dcf30a1512a'],False,['docs/patterns.rst']
6418551efb1d24320c261b1e24c186d5394e6dcf,More typo fixes,['f54c4fd04f326d94684c7fcbf12df5cecae653c4'],False,"['docs/becomingbig.rst', 'docs/patterns.rst']"
7c9303b7502403c372171e1e045433b57259a56b,More typo fixes,['6418551efb1d24320c261b1e24c186d5394e6dcf'],False,['docs/becomingbig.rst']
5348eff4457a528cd605bbbd5e0152c282819962,fixed headers,['6d556acb3fcaa6eeff4bda8cf704ad5f0cf5b5ac'],False,['docs/patterns.rst']
791cdb28f593d4d7649d88407fcd193834512219,Fixed capitalization on website,['9fbf9a062c11904b5022a5aa7941449e31340c32'],False,['website/index.html']
5310fc38227b1907cb541f4a30ea8dfef46c2e19,"Session falls back to a dummy object now if secret_key is missing.

This makes it possible to still read-only access the empty session but
requires the secret key to be set for write access.  The error message
raised explains that.  This closes #10.",['791cdb28f593d4d7649d88407fcd193834512219'],False,"['flask.py', 'tests/flask_tests.py']"
42dd94b7565052120423dbd86a5ab0f96938f8cc,Fixed title.,['b4cd70d054a1514adaed893663cfa22b73114d1e'],False,['website/404.html']
42a46ed09b745c0560de354c0cb236295000f296,Fixed homepage links,['123a1ad019a842a07a84aace66fd7a33f6f68cb9'],False,['website/index.html']
ab5492418694b5cc14601a953084d61f47785ea4,Fixed a font name.,['63593d281b7358a86a808cc0bf5e47107316403d'],False,['docs/_themes/flasky/static/flasky.css_t']
73a47a0db1a181bb305684115d3dacded0c5a58b,Removed unused stuff from minitwit and fixed a bug.,['0770f5c6375e3e45fa3ac918217df5d885176173'],False,['examples/minitwit/minitwit.py']
56675b3bade603a458d01443bda8070ca0489005,Fixed indentation of an example.,['976e792336fa6c4696f534ac1d537d2a86a75e72'],False,['docs/patterns/wtforms.rst']
ade490514dd6d83adc7610f69f9c4cd68df47110,"Fixed a security problem caused by changed simplejson semantics.

Notice: this was never in a release version of Flask.",['07e515b071e32e1b22e9992cedabeb082a8cde6c'],False,"['docs/api.rst', 'docs/patterns/jquery.rst', 'flask.py', 'tests/flask_tests.py']"
3088a9371e065808fd0091741f62bc242bcab1f9,"Make it easier to associate a rule, endpoint and view_function
This resolves http://github.com/mitsuhiko/flask/issues/issue/11",['36f105c2932af842de5d18899783f33078415c7f'],False,"['flask.py', 'tests/flask_tests.py']"
50a331307114a641d1d9447453f8fddc52fe680f,Fixed typo in form docs,['06ec917ddedc618944670b39ccd5f4cb862882b2'],False,['docs/patterns/wtforms.rst']
1404a85bc554f96bff5463e6eadb14662b945f2e,Fixed WTForms example.,['9f0b2429d638e54cb534b555c393d0770dfc1a8f'],False,['docs/patterns/wtforms.rst']
3a1e51865786474c44a04c0d422515047dd27223,Fixed typo and added AUTHORS file and license text to docs.,['715f64d2afef0e5b9800f0e0fb0eb9c892e1573a'],False,"['AUTHORS', 'LICENSE', 'docs/index.rst', 'docs/license.rst', 'flask.py']"
9f6bc93e4de36fc209eb1203845e9505df1ca379,"Fixed XSS problem by escaping all slashes in JSON.

This also probes simplejson first to figure out if it escapes slashes
which it did in earlier versions.",['268302fc68c35abd555a8c2d2755f14c96e1401d'],False,"['flask.py', 'tests/flask_tests.py']"
3c821a0fa45082bcec73dfb08662fb1de5263c48,Fix typos and remove unused import.,['9f6bc93e4de36fc209eb1203845e9505df1ca379'],False,"['docs/api.rst', 'docs/patterns/jquery.rst', 'docs/patterns/packages.rst', 'examples/minitwit/minitwit.py', 'flask.py', 'setup.py']"
9d340ad7477774a19a7bdffc83d6cb8cb3e05edc,"Fix a doc oversight, and revert 5876a8fd.",['9cf2ea2abc5243d50c87612714904c6cb033f7cc'],False,"['docs/testing.rst', 'flask.py']"
f014ce29a7cd5a3ccfabd61e7d66e017ed958e25,"Fix a doc oversight, and revert 5876a8fd.",['5876a8fd96efa01958904ca0796eb4018222bf25'],False,"['docs/testing.rst', 'flask.py']"
ef34638f5d24c07a5582cbb60755fd4dfbec9a79,"Updated docs for external server information.

This fixes #14.",['a862ead5f22f9d4592c1c85bda285a4ded59b631'],False,"['docs/quickstart.rst', 'docs/tutorial/setup.rst']"
606b006e2391d12fec5313ce606d82463d7aad07,Fixed at least one build warning by renaming files.,['d22428bc8e8c3cf5e6006497cb8164decde31924'],False,"['Makefile', 'docs/contents.rst.inc', 'docs/index.rst', 'docs/latexindex.rst']"
2ba88eefb54f76fc974181babac07ffc7c1f7e73,Fixed simple typo,['4559e4f0f14272fb4fb31f3bf79bf592a9f781df'],False,['docs/patterns/wtforms.rst']
31493850de3d7765d09419aa49b98089f79da3c2,Fixed typo in flask quickstart docs. This fixes #21,['36717b02731ad7d86ba8effbe27e70405e48cd9b'],False,['docs/quickstart.rst']
f1603d33f266ab24eda604f76632fa604b91e3f9,Docs mention query args now.  This fixes #20,['31493850de3d7765d09419aa49b98089f79da3c2'],False,"['docs/quickstart.rst', 'flask.py']"
a9284afde97c30d136e8ec675794c7cdcf4ca277,Fixed typo in tutorial.  This fixes #19,['f1603d33f266ab24eda604f76632fa604b91e3f9'],False,['docs/tutorial/testing.rst']
8d49440d8b881b2df2c10085a58d3a4e4085147e,Added example for context bound objects to the testing docs.  This fixes #18,['a9284afde97c30d136e8ec675794c7cdcf4ca277'],False,['docs/testing.rst']
eeb0e949518720ff5302bcf336fc72dea44737d0,Fixed merging confict,"['13933eeaf8b6c7685aaf1c769efe97763d64ea0d', 'a7266ffb90d109f94da96e9eea5f5bb4ff8ddc71']",True,[]
9248a7baca5bc616a60f9b63b525e872fbfddef2,None responses fail properly now.  This fixes #24,['d0eefb01d16bd058172363a9847b5d98ccd1abc9'],False,['flask.py']
67fc46526234653b0a519e9f1e8a05a2c40c80f8,"Fix typo, remove useless import, limit lines to 79 columns.",['f345af8d9d33e6164747c865c29a72186a470c22'],False,"['flask.py', 'tests/flask_tests.py']"
a921aef6c47cecbacef5173f03c07c52e6bc8fea,Fixed late binding of url_prefix.  This fixes #29.,['720bede150d835be0ffedf4d480482552c90908d'],False,"['flask.py', 'tests/flask_tests.py']"
f6da77e894a939b838e02fb744fa3031abfc96ec,Fixed URL examples.  This fixes #30.,['bc0c0559e384dc88441775a3907487f4a2b515b4'],False,['docs/api.rst']
745638e774063de206aae930df71789de13e7c73,"Added missing decorators for module wide context processors.

This fixes #25.",['7f837901cb9b3ba7d68ea0a983d86dfc508a9c6d'],False,"['flask.py', 'tests/flask_tests.py']"
e409bc792d4419ed588afbc60c53b61923c415a7,Fixed typo,['f4269b1fe7fe4c17a99bc7ca0dddafd17bed14e9'],False,['flask.py']
93a8ca02822d07cd9f13495f53d27ab22e9adf3a,Fixed some minor typos throughout docs.,['e409bc792d4419ed588afbc60c53b61923c415a7'],False,"['docs/becomingbig.rst', 'docs/design.rst', 'docs/foreword.rst', 'docs/installation.rst', 'docs/quickstart.rst']"
a5a41d40aaa9f6ed70b487133ddaf48ceb3d054f,Fix typo.,['93a8ca02822d07cd9f13495f53d27ab22e9adf3a'],False,['flask.py']
693e4449f87950c764a928690f4437fd6b1b4d7d,Fix typo.,['a5a41d40aaa9f6ed70b487133ddaf48ceb3d054f'],False,['flask.py']
35ed617fe41b184288892f733ce07d94391b76b1,"Added support for flashing categories.

This fixes #35.",['693e4449f87950c764a928690f4437fd6b1b4d7d'],False,"['CHANGES', 'flask.py', 'tests/flask_tests.py']"
931dcc4c80331d372d70d7a0a5c8e6d49223e2bf,Fixed a doc bug and added distribtue docs.,['35ed617fe41b184288892f733ce07d94391b76b1'],False,"['docs/installation.rst', 'docs/patterns/distribute.rst', 'docs/patterns/flashing.rst', 'docs/patterns/index.rst', 'flask.py']"
c6e6792cd52022add8455fc792b2ca73c62d3d65,Added MANIFEST.in.  This fixes #39,['b18560fcaa1739c81ff273951ebc6fa3c96fda2b'],False,['MANIFEST.in']
267f5f5c82a1ec9966bfb4e1e0c3f7cc4c80ed12,Added a pattern for custom error pages.,['ea5e654e9e19aab5089f9a71e679bcca11581e86'],False,"['docs/errorhandling.rst', 'docs/patterns/errorpages.rst', 'docs/patterns/index.rst']"
54c3df60cd533ea80d347f6715ee84f6a560b5d5,Fixed a doc config error,['267f5f5c82a1ec9966bfb4e1e0c3f7cc4c80ed12'],False,['docs/conf.py']
b26aeba972686b9cb9a9b111e1bc8997e1f259c8,Fixed a testcase,['7bb0e33a687b3498c401a8dbcf7864d543a1817a'],False,['tests/flask_tests.py']
395ff8120ccf055614d03db7d2360ab1182c7c10,Fix typo.,['54c3df60cd533ea80d347f6715ee84f6a560b5d5'],False,['docs/patterns/distribute.rst']
854e0e26d16408760072308c44b9160a9fb39abd,Fixed some documentation issues. This fixes #41.,['e52f073e3e76a88e24a8a63eb5491dfc6e537a40'],False,"['docs/api.rst', 'docs/patterns/distribute.rst', 'docs/patterns/fileuploads.rst']"
cc8332e9d99c08b77614e5acd7bd0e6d08dc29b6,Added troubleshooting infos. This fixes #44,['664c64e0aafeb828911e97d31077c913ae2dd79a'],False,"['docs/_themes', 'docs/deploying/cgi.rst', 'docs/deploying/fastcgi.rst', 'docs/deploying/mod_wsgi.rst', 'docs/flaskstyle.sty']"
9d98ad5e079b88fd9da87e47d55a11e465ab6bb0,Documented redirect behaviour. Fixes #42,['cc8332e9d99c08b77614e5acd7bd0e6d08dc29b6'],False,['docs/quickstart.rst']
ef0dc1800f7558abbefe070f361b97b9161b2452,"Added interactive Python docs, fixed part style.",['9d98ad5e079b88fd9da87e47d55a11e465ab6bb0'],False,"['CHANGES', 'docs/contents.rst.inc', 'docs/flaskstyle.sty', 'docs/index.rst', 'docs/latexindex.rst', 'docs/shell.rst', 'flask.py', 'tests/flask_tests.py']"
6c095deda51efb34cd18bd23411ebd6f2a0cdfe0,Fixed docstring.  This fixes #45,['ef0dc1800f7558abbefe070f361b97b9161b2452'],False,['flask.py']
133920c83bf78db17631b637b8b2ffabcb26f3d4,Fix typo in docs.,['6c095deda51efb34cd18bd23411ebd6f2a0cdfe0'],False,['docs/installation.rst']
9d19b77acf413de77b39ed1c6d972fb1e5fef1c3,"Added lazyloading pattern and explicit chapter links in tutorial.

This fixes #49.",['6c095deda51efb34cd18bd23411ebd6f2a0cdfe0'],False,"['docs/_themes', 'docs/conf.py', 'docs/patterns/index.rst', 'docs/patterns/lazyloading.rst', 'docs/tutorial/css.rst', 'docs/tutorial/dbcon.rst', 'docs/tutorial/dbinit.rst', 'docs/tutorial/folders.rst', 'docs/tutorial/introduction.rst', 'docs/tutorial/schema.rst', 'docs/tutorial/setup.rst', 'docs/tutorial/templates.rst', 'docs/tutorial/testing.rst', 'docs/tutorial/views.rst', 'examples/minitwit/minitwit.py']"
1264c458ae808d306aa03c51f70103e52dca107b,Document ways to generate secret keys.  This fixes #47.,['58285b61fffa1113701686c6bcdbf54ef529e440'],False,['docs/quickstart.rst']
8d356d7cda963e2fa6437c5a5fef035e13cc80c5,Fixed a build error and added a touch icon,['74d458b40c0bdb140e7feab9af407642eb3dcea1'],False,"['docs/_static/touch-icon.png', 'docs/_themes', 'docs/conf.py', 'docs/deploying/mod_wsgi.rst']"
e432d833b5f7b4c27e2dca5d5125bbf78a46327d,Fixed stuff I broke,['8d356d7cda963e2fa6437c5a5fef035e13cc80c5'],False,['examples/minitwit/minitwit.py']
6cb0855e2dd181df5353fc1be9b437c7bc92eb2f,Fixed an error reporting bug with flask.Config.from_envvar,['6913dc173303de9534c32d716c22b7f371ab6303'],False,"['CHANGES', 'flask.py', 'tests/flask_tests.py']"
8e4bcaf57630b5449999594063ffe8dc104e316a,Fixed build process,['dba42ae968a1cfa6cc6a3ead99ded554a710f041'],False,"['CHANGES', 'MANIFEST.in']"
63caf6e15882292832485372cd86b8265a007f92,Fix some typos.,['8e4bcaf57630b5449999594063ffe8dc104e316a'],False,['docs/design.rst']
a224fecfd57a77c3f7279102dcc0b332a6858065,More typo fixes.,['63caf6e15882292832485372cd86b8265a007f92'],False,"['docs/api.rst', 'docs/deploying/mod_wsgi.rst', 'docs/design.rst', 'docs/installation.rst', 'docs/quickstart.rst', 'docs/testing.rst', 'docs/tutorial/css.rst', 'docs/tutorial/dbinit.rst', 'docs/tutorial/testing.rst']"
7a4b6088395387abe4127c9650f9cbaac11a0ec4,"Add Module.app_errorhandler, like Flask.errorhandler.",['a224fecfd57a77c3f7279102dcc0b332a6858065'],False,"['flask.py', 'tests/flask_tests.py']"
a6617f44c0416c6877d930b312e1f64df08eca0e,Documented _request_ctx_stack. This fixes #57,['50bca8c2d34b4b31ffcc98f6ced44b18de3c78b0'],False,['docs/api.rst']
707b30749daf407c07b5b265bd892564576ad80a,use setup.py test. This fixes #56,['a6617f44c0416c6877d930b312e1f64df08eca0e'],False,"['Makefile', 'setup.py']"
216472b43dbb2c2501ab7f8b3e5ae861a082db3f,Fix missing plural in documentation,['ee69fb58906818f50a2afe71e4ecde7af96b791a'],False,['docs/patterns/packages.rst']
33e7f2b990e3889d6aa9cffef4a4c9d7d0923698,Invoke after_request on exceptions as well. This fixes #59,['ee69fb58906818f50a2afe71e4ecde7af96b791a'],False,"['flask.py', 'tests/flask_tests.py']"
bc00fd1e83f23f57dd6a765b6a4bab2394584ae6,Added support for deferred context cleanup. test_client users can now access the context locals after the actual request if the client is used with a with-block. This fixes #59.,['937360877bd425543e06decd68a62e086b78bf6b'],False,"['CHANGES', 'docs/api.rst', 'docs/testing.rst', 'flask.py', 'tests/flask_tests.py']"
9983e847425621b5e474ae9da6822f1af0b0cc1f,Fixed after_request handlers being called twice in some cases and improved logging system,['bc00fd1e83f23f57dd6a765b6a4bab2394584ae6'],False,"['CHANGES', 'flask.py', 'tests/flask_tests.py']"
f904ef27d3d1f4e03972c34858787294c74c164f,Fixing typo in error handling documentation (s/changes are/chances are/),['1ffa295d933c7e0cd1ee14c1592c40f72b9f22bb'],False,['docs/errorhandling.rst']
cc7876f97fbc787ac7702453bdc62541f8ea47f6,"Fix in docs for handle_exception: ""A"" before nouns pronounced with an initial consonant sound",['12c2cb5e12895a0d16b37b7a9e9a96d69a34c36e'],False,['flask.py']
e67903d134039b2452b2a3806e10451491ce768d,"Fixing another article error, in handle_http_exception.",['cc7876f97fbc787ac7702453bdc62541f8ea47f6'],False,['flask.py']
51a5add86d0fa9889b69d51d45d06a2ac4c5df9f,Fix inconsistent capitalisation and punctuation in attribute docstrings,['e3de5e6ca39e024874cb465c9047b65373d73b64'],False,['flask.py']
f5fb4576577cbedcedba9eb16d9fdace18c9292c,Added TESTING flag.  This fixes #58.,['06ed3e1e8888b73794876d39a53382eb45a54fe2'],False,"['CHANGES', 'docs/config.rst', 'flask.py']"
235d693bfc5633aae310ab3dc35e86c8892a0b2b,Fixed tabularcolumns,['ca0aa9533f7c3a925f1115581872793bdf34bb34'],False,"['docs/_themes', 'docs/htmlfaq.rst']"
5a5a4a85bf1cfe783e7009d463aa16368dd5c92f,Applied leafstorm's html5faq patch,['235d693bfc5633aae310ab3dc35e86c8892a0b2b'],False,"['AUTHORS', 'docs/htmlfaq.rst']"
d02d01adaa5754ad694b3fee7e32aaa19a502054,Fixed an rst error,['5a5a4a85bf1cfe783e7009d463aa16368dd5c92f'],False,['docs/htmlfaq.rst']
1762ea5a2bee7539381c701c4d1534c4af9c2e37,Fixed link for good,['d02d01adaa5754ad694b3fee7e32aaa19a502054'],False,"['docs/_themes', 'docs/htmlfaq.rst']"
54d22f1c5537c957ed555c20e6cd8198346289e5,"Typo fix.  That is what was meant, right?",['1762ea5a2bee7539381c701c4d1534c4af9c2e37'],False,['docs/htmlfaq.rst']
540eca16f8a5963a74298f3630523fd9ad49187a,"Fix some typos in the docs

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",['41f5ad9b1539410507455db6df1424d1a7215b05'],False,"['docs/extensiondev.rst', 'docs/patterns/appfactories.rst', 'docs/patterns/index.rst', 'docs/patterns/packages.rst']"
52f38bbf8bee2f7b5aa4fe708dc304cb590d3a0b,Fixed a broken sentence,['33a035bb0ec07a4ca92f1397e7caeb7714c57bd6'],False,['docs/security.rst']
ea72e272a677365a60f1c412f91ebfac58ba13bb,Fixed a broken example,['20c2e53893c202a4555bd7390672ee948fa6b1e0'],False,['docs/errorhandling.rst']
387be22f26b8065d29e311723bb8a50a74248534,Added unicode chapter to the docs.  This fixes #67,['ea72e272a677365a60f1c412f91ebfac58ba13bb'],False,"['docs/contents.rst.inc', 'docs/unicode.rst']"
03c4bb4abc3bd8120ba3e5ea493447be2ad57711,Typo fix.,['e429b69d162b8ec89bbad663ba75599e338bb34f'],False,['docs/unicode.rst']
d44b12774879cba83bf33c8ed7733157ab84d778,Use a custom logger subclass that uses DEBUG level if in debug mode,['7083b35e6af836eeeca661f5a1ba9896bc60ebb3'],False,"['flask.py', 'tests/flask_tests.py']"
fe35105bec80bbb7cbba1b1d6414612fe85873cd,Updated design decisions.  This fixes #63,['d44b12774879cba83bf33c8ed7733157ab84d778'],False,"['CHANGES', 'docs/design.rst']"
1592c53a664c82d9badac81fa0104af226cce5a7,Fixed a MANIFEST issue,['7698c3fd14692aeb947d22d0822df061e4312b03'],False,['MANIFEST.in']
824c10c6e4d9c2235d41a2276a0158b1456c3b06,Added MongoKit pattern and fixed typo in sqlalchemy pattern,['67f3f1bac5cfadfa5398e18dd232d279576cf85c'],False,['docs/patterns/mongokit.rst']
b5db6bf529706da651389ef51b0fce87a89a47e8,now really pushed the fix in sqlalchemy pattern,['824c10c6e4d9c2235d41a2276a0158b1456c3b06'],False,"['docs/patterns/index.rst', 'docs/patterns/sqlalchemy.rst']"
87c2c794421f8a39aa98a35f518613cfd38852d5,fixed mongokit pattern to show how the flask way to configure hostname and port,['b5db6bf529706da651389ef51b0fce87a89a47e8'],False,['docs/patterns/mongokit.rst']
5ede53066fc26d993dd229fe0c54209e700f4c09,"Minor tutorial documentation fixes (grammar, etc)",['87c2c794421f8a39aa98a35f518613cfd38852d5'],False,"['docs/tutorial/setup.rst', 'docs/tutorial/views.rst']"
505c530c9a4c8f1b6b063bcb481a4fdcf3897709,"Minor testing documentation fixes (grammar, etc)",['5ede53066fc26d993dd229fe0c54209e700f4c09'],False,['docs/testing.rst']
ee5eafa7951bf636bdf345cb072f89947e265867,"Error Handling documentation fixes (grammar, etc)",['505c530c9a4c8f1b6b063bcb481a4fdcf3897709'],False,['docs/errorhandling.rst']
24754114fc023c92385a1f9bfef141d93a9c8f9b,"Minor config documentation fixes (grammar, etc)",['ee5eafa7951bf636bdf345cb072f89947e265867'],False,['docs/config.rst']
4ed7a923f53c71339251dd1ccd681f424b061bd1,"Minor sqlite3 documentation fixes (grammar, etc)",['24754114fc023c92385a1f9bfef141d93a9c8f9b'],False,['docs/patterns/sqlite3.rst']
7ea1b801cc1f7d09ee18e8d70957c9d34b870700,Documented missing attributes.  This fixes #71,['f195d9244756b9809bd2b00601b437f3e278b0b9'],False,['flask.py']
881aa3ab2dad11edcddd0d5996fea9bdc3132224,Fixed an rst syntax error,['9373a71c263a63eca3c466cbc5b175ed5d4999d5'],False,['docs/api.rst']
e75322206d2fd1c483494fea7bfba367cdcdd9b2,Fixed a broken example in the docs,['f5d2d324b5a1cc9d7ab14ab40488d8b7f4b8c616'],False,['docs/quickstart.rst']
d0357b44b02324b85af42052487eab13d0b75f81,Added links to Flask-WTF and Flask-SQLAlchemy.  This fixes #73,['e75322206d2fd1c483494fea7bfba367cdcdd9b2'],False,"['docs/patterns/sqlalchemy.rst', 'docs/patterns/wtforms.rst']"
bc662a546ed9028d93482f79314e64beae19a1d6,Added a section about unicode and editors.  This fixes #74,['d0357b44b02324b85af42052487eab13d0b75f81'],False,"['docs/_themes', 'docs/unicode.rst']"
3ab318a7ddca819e13d6d161b008b62b6583453e,Explained Flask constructor better.  This fixes #70,['bc662a546ed9028d93482f79314e64beae19a1d6'],False,"['docs/quickstart.rst', 'flask.py']"
a154c87cfca3e21316552b2ec558029f9c96122a,Documented exception catching behaviour.  This fixes #75,['3ab318a7ddca819e13d6d161b008b62b6583453e'],False,['flask.py']
dd59d7241d0ebc713d51ab939f53ebd0df8b2dac,Ported a typo fix from master,['8798b4b7112fb984bd244c8581ab03ef4a7ba766'],False,['flask/app.py']
4f8ee8f12946b224e5003405be99aa4e454bdeee,"Added missing comments, fixed setup.py and made tests pass",['dd59d7241d0ebc713d51ab939f53ebd0df8b2dac'],False,"['flask/__init__.py', 'flask/app.py', 'flask/config.py', 'flask/ctx.py', 'flask/globals.py', 'flask/helpers.py', 'flask/module.py', 'flask/session.py', 'flask/wrappers.py', 'setup.py']"
31d359694aeb4ef8770e7d2ba14ae479c23006a2,Fix typos,['f694456ff623941020da16839b7edd95248ed26e'],False,['docs/unicode.rst']
9e1111c2fbc2c7670eb489df0262a90417b96019,Fixed JSON availability test.  This fixes #77,['362cf493c42deaa417aa42a402852679ac349a4d'],False,['flask/__init__.py']
51a89bf35ec6231d55f5caa8e12484e801f593fe,Restored 2.5 compatibility and actual fix for the json problem,['80eb6cfffc3f3fe6e448aa0e26ba1566d4c42917'],False,"['.gitignore', 'flask/helpers.py', 'flask/module.py', 'flask/wrappers.py']"
8945a97a42d6475b1ee9fcb2689dc65dfce9828f,fixed possible security problem in module branch,['f1cde5bbfcb7f0466ad35511ffe2e31ea57756d6'],False,"['flask/helpers.py', 'tests/flask_tests.py']"
da514b398429653dbd368c6da48c9863d3c2632f,Respect the domain for the session cookie.  This fixes #79,['56796f0f439a5c0e00d7b3d73a662a2a8e11e7c1'],False,"['flask/app.py', 'tests/flask_tests.py']"
5dd4e9f318e3bb27967d86f42be64fa839967145,Fixed a typo,['34fcd19306dca6359d351bb987b686ca12bb2ab6'],False,['docs/patterns/fabric.rst']
98ea6579c80fc7754eef433e3d6a0f232b8be75a,Preparing for a 0.5.1 bugfix release,['4c937be2524de0fddc2d2f7f39b09677497260aa'],False,['setup.py']
0a93c552cc3318396e44c6ab1282190898ce0012,Fixed a template lookup error,['596ae0ced530adef7021c134b3b89e74154d7eb6'],False,"['CHANGES', 'flask/templating.py', 'tests/flask_tests.py']"
d12d73263f5d1664a65a42f71f19158b7e07ef2c,Reverse order of execution of post-request handlers.  This fixes #82,['f1a6fbe250ccf5407b45a398d05bf63bc99c3105'],False,"['CHANGES', 'docs/upgrading.rst', 'flask/app.py', 'tests/flask_tests.py']"
ed16ae2183ad44a7ba89aedd331a180455ed0836,Always register URL rules.  This fixes #81,['6e52355eb303e1b47f7b83ddbb94ff432e2df139'],False,"['CHANGES', 'flask/app.py', 'flask/helpers.py']"
f5b8c082847baa8a902cef22c43a5d50d7a55bdc,endpoint is optional for modules.  This fixes #86,['b1790cca55956c0cda132ac2fa6a2fb53fd2d009'],False,"['flask/app.py', 'flask/helpers.py', 'flask/module.py', 'tests/flask_tests.py']"
1202996c634b23f82421753cb7c46a5ccdf7aca2,Fixed a template loading bug,['793a56bc8b3a42601f0d3e9b6a1f0f73a9c31c33'],False,['flask/templating.py']
dbb3620792eda43d5f778c7f9019609f62ad2bb9,Fixed an rst error,['82b143f9720ea5837289af32785ce5ef951943d9'],False,"['docs/config.rst', 'docs/patterns/fileuploads.rst']"
70dc2b66a0d02a23546ad8d48b7fca1c21997ae6,Removed useless script reference.  This fixes #87,['dbb3620792eda43d5f778c7f9019609f62ad2bb9'],False,"['docs/errorhandling.rst', 'examples/jqueryexample/templates/layout.html']"
90b8df3e4ce762ac4de4a6fabd8fb34532bedd5e,Fixed paren in docstring,['6fc1492357a94ab553fe7ef16a7a2235d05f5a1d'],False,['flask/helpers.py']
